orgn;selskap;nettnivaa;komponent;avg_5yr_1000NOK;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035
824368082;VANG ENERGIVERK AS;ld;sf;16981.8;15236.0;22390.0;18037.0;12264.0;17321.4;17875.7;18304.7;18725.7;19081.5;19463.1;19852.4;20249.4;20654.4;21067.5;21488.8
824368082;VANG ENERGIVERK AS;ld;gf;5293.2;1038.0;12596.0;5448.0;2091.0;5399.1;5571.9;5705.6;5836.8;5947.7;6066.7;6188.0;6311.8;6438.0;6566.8;6698.1
824368082;VANG ENERGIVERK AS;rd;sf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
824368082;VANG ENERGIVERK AS;rd;gf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
824701482;NOREFJELL NETT AS;ld;sf;3144.5;3341.0;3735.0;2377.0;3125.0;3207.4;3310.0;3389.5;3467.4;3533.3;3604.0;3676.1;3749.6;3824.6;3901.1;3979.1
824701482;NOREFJELL NETT AS;ld;gf;5570.8;4545.0;5331.0;4037.0;8370.0;5682.2;5864.0;6004.7;6142.8;6259.6;6384.7;6512.4;6642.7;6775.5;6911.1;7049.3
824701482;NOREFJELL NETT AS;rd;sf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
824701482;NOREFJELL NETT AS;rd;gf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
824914982;JÆREN EVERK AS;ld;sf;10754.2;13513.0;7765.0;10413.0;11326.0;10969.3;11320.4;11592.0;11858.7;12084.0;12325.7;12572.2;12823.6;13080.1;13341.7;13608.5
824914982;JÆREN EVERK AS;ld;gf;4438.2;5188.0;4512.0;4182.0;3871.0;4527.0;4671.9;4784.0;4894.0;4987.0;5086.8;5188.5;5292.3;5398.1;5506.1;5616.2
824914982;JÆREN EVERK AS;rd;sf;3308.5;12129.0;937.0;106.0;62.0;3374.7;3482.7;3566.2;3648.3;3717.6;3791.9;3867.8;3945.1;4024.0;4104.5;4186.6
824914982;JÆREN EVERK AS;rd;gf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
882783022;ETNA NETT AS;ld;sf;39181.8;30358.0;22699.0;31124.0;72546.0;39965.4;41244.3;42234.1;43205.5;44026.4;44907.0;45805.1;46721.2;47655.6;48608.7;49580.9
882783022;ETNA NETT AS;ld;gf;6552.0;13442.0;7842.0;2279.0;2645.0;6683.0;6896.9;7062.4;7224.9;7362.1;7509.4;7659.6;7812.8;7969.0;8128.4;8291.0
882783022;ETNA NETT AS;rd;sf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
882783022;ETNA NETT AS;rd;gf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
912631532;LINJA AS;ld;sf;290025.8;276232.0;271825.0;269509.0;342537.0;295826.3;305292.7;312619.7;319810.0;325886.4;332404.1;339052.2;345833.2;352749.9;359804.9;367001.0
912631532;LINJA AS;ld;gf;100101.5;61101.0;76767.0;120746.0;141792.0;102103.5;105370.8;107899.7;110381.4;112478.7;114728.3;117022.8;119363.3;121750.5;124185.6;126669.3
912631532;LINJA AS;rd;sf;410057.2;551343.0;96217.0;436951.0;555718.0;418258.4;431642.7;442002.1;452168.1;460759.3;469974.5;479374.0;488961.5;498740.7;508715.5;518889.8
912631532;LINJA AS;rd;gf;35900.5;54260.0;1912.0;61451.0;25979.0;36618.5;37790.3;38697.3;39587.3;40339.5;41146.3;41969.2;42808.6;43664.7;44538.0;45428.8
