Org.nr;ID;Selskap;År;DV inkl.utrednings-ansvar;Kostnader knyttet til utrednings- og koordineringsansvar;DV uten kostnader knyttet til utrednings-ansvar;Avskrivninger;Bokførte verdier;Avkastningsgrunnlag;Krafttap MWh i Dnett;Krafttap MWh i Rnett;Kile;Lokalt D&V-kostnader;Lokalt AVS;Lokalt AKG inkl 1% arbeids-kapital;Lokalt AKG inkl 17b;Lokalt Nettap MWh;Lokalt KILE (fq);Regionalt D&V-kostnader uten utredningskostnader;Regionalt AVS;Regionalt AKG inkl 17b;Regionalt Nettap MWh;Regionalt KILE (fq);Transmisjonsnett D&V-kostnader;Transmisjonsnett AVS;Transmisjonsnett AKG inkl 1% arbeids-kapital;Transmisjonsnett KILE (fq);Kraftpris 2026;Lokalt Årslønnjusterte D&V-kostnader;Lokalt Nettapskostnad;Lokalt Sum kostnader;Lokalt Kostnadsgrunnlag;Regionalt Årslønnjusterte D&V-kostnader uten utredningskostnader;Regionalt Nettapskostnad;Regionalt Kostnadsgrunnlag ;Transmisjonsnett Kostnadsgrunnlag
925336637;7;ALUT AS;2024;51189.40150886377;0;51189.40150886377;13924;433942;438281.42000000004;19539;7215;4885;48043.42244243051;11362;373083.9;455478.69;19539;4885;3145.979066433261;2562;65197.52;7215;0;0;0;0;0;0.22609631;52407.64403458354;4417.69580109;73328.29043447593;100284.84582247594;3431.7569954857045;1631.28487665;10704.495140552372;0.0
921680554;9;NORANETT ANDØY AS;2024;28855.582766047966;0;28855.582766047966;5983;175837;177595.37;2432;4936;17620;19766.12838786159;4136;114157.27;124335.04;2432;5723;9089.454378186376;1847;74144.1;4936;11897;0;0;0;0;0.22609631;21561.6658395688;549.86622592;32270.389849919935;40518.63313165327;9915.132297067046;1116.01138616;29323.459338443485;0.0
924004150;16;HAVNETT AS;2024;24074.11586015111;0;24074.11586015111;3688;107426;108500.26;5880;0;341;24074.11586015111;3688;108500.26;176140.97;5880;341;0.0;0;0.0;0;0;0;0;0;0;0.6706518499999999;26260.9870468315;3943.4328779999996;34251.28669129856;42090.792143831895;0.0;0.0;0.0;0.0
953181606;22;BINDAL KRAFTLAG SA;2024;9207.067764966005;0;9207.067764966005;3173;41776;42193.76;2582;0;817;9207.067764966005;3173;42193.76;58818.36;2582;817;0.0;0;0.0;0;0;0;0;0;0;0.22609631;10043.429578873616;583.78067242;14660.017137521161;17708.65694338783;0.0;0.0;0.0;0.0
980234088;32;NORGESNETT AS;2024;168850.78591922697;0;168850.78591922697;78590;1693305;1710238.0499999998;95677;4508;14747;154642.7305974296;71789;1544656.63;2128034.65;95677;14747;14208.05532179739;6801;207387.34;4508;0;0;0;0;0;0.6136220069396616;168690.338149775;58709.512757966004;314708.52306342963;426315.11343636294;15498.702379512626;2766.2080072839944;34263.51191257929;0.0
924862602;35;DE NETT AS;2024;19271.63568953657;0;19271.63568953657;3458;87901;88780.01;3912;0;679;18123.09845531712;3409;87273.09;114860.23;3912;679;1148.537234219453;49;1506.92;0;0;0;0;0;0;0.6706518499999999;19769.384535168865;2623.5900371999996;26516.550919674253;32822.322582474255;1252.869330938387;0.0;1410.7493240050537;0.0
923354204;37;FJELLNETT AS;2024;62300.88593300469;0;62300.88593300469;16909;453385;457918.85;21461;27496;3717;46310.13269484192;12039;309310.48;442951.66;21461;3717;15990.75323816277;4870;203403.9;27496;0;0;0;0;0;0.38107685;50516.90379414242;8178.29027785;74645.94706600439;96994.66028093772;17443.338982661004;10478.0890676;33050.789076394336;0.0
914385261;42;STRAM AS;2024;24704.78578333361;0;24704.78578333361;7525;214484;216628.84;9339;0;1712;24704.78578333361;7525;216628.84;355496.77;9339;1712;0.0;0;13948.1;0;0;0;0;0;0;0.22609631;26948.946462651056;2111.51343909;38387.160500543454;54039.31628667679;0.0;0.0;0.0;0.0
923934138;43;BØMLO KRAFTNETT AS;2024;24142.406737804387;0;24142.406737804387;9473;255341;257894.41;6787;0;481;23892.77300872335;9423;256560.2;298180.28;6787;481;249.6337290810353;50;1334.21;0;0;0;0;0;0;0.6706518499999999;26063.171172718234;4551.71410595;40544.087374476614;59081.41702514328;272.3102341091817;0.0;418.7113539758484;0.0
923833706;55;LYSNA AS;2024;22484.16923341404;0;22484.16923341404;4526;85538;86393.38;6577;0;426;22484.16923341404;4526;86393.38;107536.72;6577;426;0.0;0;0.0;0;0;0;0;0;0;0.6706518499999999;24526.611088335405;4410.87721745;33911.80866506684;40154.01834800017;0.0;0.0;0.0;0.0
917983550;63;NORANETT HADSEL AS;2024;28079.65944396628;0;28079.65944396628;11899;351325;354838.25;7946;883;2900;24820.53586393729;10003;284716.98;332610.17;7946;2900;3259.123580028991;1896;70121.27;883;0;0;0;0;0;0.22609631;27075.211177212575;1796.56127926;41926.71856425701;62498.46942585701;3555.17945565903;199.64304173;10517.674950725697;0.0
982897327;65;LUCERNA AS;2024;50609.61107240587;0;50609.61107240587;14268;317956;321135.56;12615;19485;13112;25506.67230543874;10310;206024.85;292279.86;12615;8861;25102.93876696713;3958;251478.89;19485;4251;0;0;0;0;0.22609631;27823.675640343874;2852.20495065;50311.15454308968;65197.13670508968;27383.267307769376;4405.48660035;44295.556851515954;0.0
917424799;71;LINEA AS;2024;231459.1908308611;289;231170.1908308611;82221;2022315;2042538.15;75506;35536;44766;183158.9056269027;54976;1334189.8;1687422.15;75506;40341;48011.28520395841;27245;797926.26;35536;4425;0;0;0;0;0.22609631;199796.8970541348;17071.627982859998;314299.20018669544;410698.86053602875;52372.58747806702;8034.55847216;135625.07997523254;0.0
917743193;82;ASKER NETT AS;2024;21403.37367740644;0;21403.37367740644;5228;121540;122755.4;8961;0;1138;21403.37367740644;5228;122755.4;148955.81;8961;1138;0.0;0;0.0;0;0;0;0;0;0;0.6243198500000001;23347.63702916468;5594.530175850001;35367.79295351767;44237.27978818434;0.0;0.0;0.0;0.0
923488960;84;HØLAND OG SETSKOG ELVERK AS;2024;18338.95789861354;0;18338.95789861354;8258;99289;100281.89;10302;0;539;18338.95789861354;8258;100281.89;131105.07;10302;539;0.0;0;0.0;0;0;0;0;0;0;0.6243198500000001;20004.852457533012;6431.743094700001;35261.83657019708;42507.53739566375;0.0;0.0;0.0;0.0
979379455;86;ELINETT AS;2024;90874.4010873823;872;90002.4010873823;49659;1216335;1228498.35;29732;15159;6215;82072.0780639287;39910;1033559.26;1252511.1;29732;5494;7930.323023453602;9749;248806.43;15159;721;0;0;0;0;0.38107685;89527.43234533253;11330.176904200001;146549.46853096967;221227.570263503;8650.7064851684;5776.74396915;33271.20053078595;0.0
824914982;88;JÆREN EVERK AS;2024;26317.606196996603;0;26317.606196996603;10314;281801;284619.01;7948;1522;524;25488.24136065412;8077;193451.36;224306.86;7948;524;829.3648363424827;2237;91791.82999999999;1522;0;0;0;0;0;0.6706518499999999;27803.57044499375;5330.340903799999;41762.3664386141;55739.87203648077;904.7035974575042;1020.7321156999999;9728.870202124172;0.0
977285712;91;KE NETT AS;2024;18608.582957228253;0;18608.582957228253;5779;201439;203453.38999999998;11200;3030;625;17092.1187481463;5589;192922.12;259132.67;11200;625;1516.464209081954;190;10531.27;3030;0;0;0;0;0;0.6706518499999999;18644.75155205797;7511.300719999999;32402.799278045994;46342.065521779325;1654.2184636405918;2032.0751054999998;2605.1378253739254;0.0
979399901;93;VESTMAR NETT AS;2024;24700.316506564406;0;24700.316506564406;9385;239026;241416.26;8062;1315;983;22325.04246917811;8383;207469.15;300944.65;8062;875;2375.274037386294;1002;33947.11;1315;108;0;0;0;0;0.6706518499999999;24353.02939093563;5406.7952147;39063.67041401886;54054.008065352195;2591.041809835549;881.90718275;6163.644287925465;0.0
824701482;95;NOREFJELL NETT AS;2024;10167.88739911342;0;10167.88739911342;2656;36783;37150.83;3477;0;1468;10167.88739911342;2656;37150.83;83595.68;3477;1468;0.0;0;0.0;0;0;0;0;0;0;0.6243198500000001;11091.529210580227;2170.7601184500004;17463.2054966949;20147.4768002949;0.0;0.0;0.0;0.0
923789324;96;HARINGNETT AS;2024;34268.73143180874;0;34268.73143180874;9200;237522;239897.22;7132;0;676;34268.73143180874;9200;239897.22;277203.59;7132;676;0.0;0;0.0;0;0;0;0;0;0;0.5577176;37381.67239328174;3977.6419232000003;51270.733478158385;68604.10728055838;0.0;0.0;0.0;0.0
913680294;98;YMBER PRODUKSJON AS;2024;128.0;0;128.0;681;5636;5692.36;0;0;0;0.0;0;0.0;0.0;0;0;128.0;681;5692.36;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;139.62740569668975;0.0;1231.919390230023;0.0
924527994;104;BREHEIM NETT AS;2024;19489.173907334625;0;19489.173907334625;4052;73833;74571.33;10080;0;1754;18952.49897269644;3889;67298.32;116096.47;10080;1754;536.6749346381837;163;115394.52;0;0;0;0;0;0;0.5577176;20674.127054896733;5621.793408;32030.821660501526;36893.34960823486;585.4260064528917;0.0;1273.9252223195585;0.0
919173122;116;MELØY ENERGI AS;2024;28081.16455287671;0;28081.16455287671;6545;104997;106046.97;7181;528;2555;28081.16455287671;6545;106046.97;137135.78;7181;2555;0.0;0;0.0;528;0;0;0;0;0;0.22609631;30632.032464531407;1623.59760211;41489.49982712045;49151.746899520454;0.0;119.37885168;0.0;0.0
933584801;121;MOSTRAUM NETT AS;2024;5135.018722256072;0;5135.018722256072;1018;13414;13548.14;1149;0;365;5135.018722256072;1018;13548.14;14328.87;1149;365;0.0;0;0.0;0;0;0;0;0;0;0.5577176;5601.479237441765;640.8175224;7644.421011338771;8623.319286805438;0.0;0.0;0.0;0.0
923152601;132;KYSTNETT AS;2024;55001.19519464101;0;55001.19519464101;16298;355428;358982.28;10756;8872;3593;43965.42266562641;8565;165009.76;273126.22;10756;2676;11035.7725290146;7733;389970.09;8872;917;0;0;0;0;0.22609631;47959.202399686386;2431.89191036;61772.30389088471;73694.80908341805;12038.252250664887;2005.92646232;34786.7128568555;0.0
921683057;133;VISSI AS;2024;53025.28551963967;0;53025.28551963967;11669;284507;287352.07;15978;4208;6501;44779.21571125593;8360;202630.24;268664.04;15978;5537;8246.069808383738;3309;84810.71;4208;964;0;0;0;0;0.22609631;48846.919678868086;3612.5668411799998;66646.5987954972;81287.30906963053;8995.135426081413;951.4132724799999;19477.13894883461;0.0
923436596;135;KLIVE AS;2024;41692.34157085255;0;41692.34157085255;16714;266146;268807.46;14748;126;3025;41692.34157085255;16709;268788.27;363715.14;14748;3025;0.0;5;19.19;126;0;0;0;0;0;0.6222593001815249;45479.63664811244;9177.080159077128;74549.21231617162;93970.06078457161;0.0;78.40467182287213;6.386541466666667;0.0
968398083;157;RAKKESTAD ENERGI AS;2024;16064.87305023694;0;16064.87305023694;5752;122364;123587.64;5706;300;377;15976.87305023694;5494;120440.48;160497.08;5706;377;88.0;258;3147.16;300;0;0;0;0;0;0.6243198500000001;17428.197930858925;3562.3690641000007;26881.3199889709;35583.546137237565;95.9938414164742;187.29595500000005;581.3866419498075;0.0
925017809;161;RK NETT AS;2024;18382.989735560837;0;18382.989735560837;3636;63226;63858.259999999995;3555;1840;779;18152.06850922969;3481;54235.99;152324.16;3555;461;230.9212263311445;155;9622.27;1840;318;0;0;0;0;0.6706518499999999;19800.986202908753;2384.1673267499996;26151.30772127552;30070.038785408855;251.8979043196549;1233.999404;1449.0258220807018;0.0
926377841;162;ROMSDALSNETT AS;2024;20643.715112019392;0;20643.715112019392;8577;218250;220432.5;9115;229;1861;18493.70730734162;7598;193797.79;250758.76;9115;1861;2150.007804677771;979;34713.7;229;0;0;0;0;0;0.38107685;20173.659164359564;3473.5154877500004;33203.682137139505;47206.218457272844;2345.312593709316;87.26659865;5248.7591735759825;0.0
923993355;164;AREA NETT AS;2024;92481.9984421826;0;92481.9984421826;24461;510515;515620.15;14412;11788;10563;63086.03725724888;15759;356690.59;431624.51;14412;6659;29395.96118493372;8702;165562.23;11788;3904;0;0;0;0;0.22609631;68816.71654620605;3258.5000197199997;94842.11626652486;120614.20036265819;32066.264048538167;2665.22330228;56510.090397487205;0.0
930187240;167;HYDRO ENERGI AS;2024;1232.332262718309;0;1232.332262718309;398;10064;10164.64;275;0;9;1232.332262718309;398;10164.64;34149.11;275;9;0.0;0;0.0;0;0;0;0;0;0;0.6706518499999999;1344.2762249975704;184.42925874999997;1936.1770406337978;2670.606162767131;0.0;0.0;0.0;0.0
925067911;168;R-NETT AS;2024;9570.314203558051;0;9570.314203558051;1681;42966;43395.66;1453;0;193;9570.314203558051;1681;43395.66;89378.94;1453;193;0.0;0;0.0;0;0;0;0;0;0;0.6243198500000001;10439.672999570252;907.1367420500002;13230.922017069355;16366.403104269355;0.0;0.0;0.0;0.0
919884452;173;RØROS E-VERK NETT AS;2024;29109.92093436219;0;29109.92093436219;6461;191917;193836.16999999998;7048;728;651;28110.99650812647;4413;108807.3;142737.24;7048;651;998.9244262357215;2048;85028.87;728;0;0;0;0;0;0.6243198500000001;30664.574327956278;4400.206302800001;40162.889912193394;48024.58002819339;1089.6658290808448;454.5048508000001;9281.285116147512;0.0
920295975;194;SKIAKERNETT AS (Inaktiv i brreg);2024;12481.48239356985;0;12481.48239356985;2118;35859;36217.59;2187;0;175;12481.48239356985;2118;36217.59;59283.97;2187;175;0.0;0;0.0;0;0;0;0;0;0;0.38107685;13615.289108305216;833.4150709500001;16750.873340931863;19367.714943731862;0.0;0.0;0.0;0.0
924619260;197;SYGNIR AS;2024;56979.55942614942;698;56281.55942614942;33436;1127865;1139143.65;13281;23128;4714;46985.42984455266;23568;646069.73;791374.39;13281;4347;9296.129581596762;9868;541535.74;23128;367;0;0;0;0;0.5577176;51253.544333896156;7407.0474456;86803.35375554406;133484.04531381073;10140.58169139539;12898.892652800001;56035.1539433997;0.0
925354813;213;STRAUMEN NETT AS;2024;16481.17898624418;0;16481.17898624418;3610;90095;90995.95000000001;5952;0;1399;16042.17898624418;3393;81621.13;146491.41;5952;1399;439.0;217;10514.1;0;0;0;0;0;0;0.38107685;17499.436199775213;2268.1694112;24632.906509178807;30530.30522211214;478.8783679753656;0.0;1373.2403623753655;0.0
997712099;214;SØR AURDAL ENERGI AS;2024;19389.21496253242;0;19389.21496253242;8684;131294;132606.94;4115;0;434;19389.21496253242;8684;132606.94;189770.92;4115;434;0.0;0;0.0;0;0;0;0;0;0;0.6243198500000001;21150.513935264386;2569.0761827500005;32860.32963897247;42441.6230771058;0.0;0.0;0.0;0.0
978631029;215;TENSIO TS AS;2024;419598.111075392;12005;407593.111075392;196193;5561414;5617028.140000001;180648;118255;43536;366573.168574609;130932;3420899.29;4193103.88;180648;39204;41019.94250078302;65261;2359316.57;118255;4332;0;0;0;0;0.38107685;399872.34786006226;68840.7707988;640903.2204552694;888074.5971554028;44746.15744696654;45064.24289675;273410.3023005139;0.0
916763476;222;TINFOS AS;2024;981.7399842228834;0;981.7399842228834;629;3545;3580.45;242;891;0;981.7399842228834;388;3337.04;3337.04;242;0;0.0;241;243.41;891;0;0;0;0;0;0.6706518499999999;1070.9203677011744;162.29774769999997;1621.2181154011744;1862.330378867841;0.0;597.5507983499999;258.5871838666667;0.0
924940379;223;STANNUM AS;2024;26602.317327096163;0;26602.317327096163;6370;200852;202860.52;14102;0;1014;24913.75912975312;5849;170742.52;245479.49;14102;1014;1688.558197343042;521;36246.88;0;0;0;0;0;0;0.6706518499999999;27176.902761247246;9457.5323887;43550.56389246221;55887.280104195546;1841.9453161163126;0.0;4683.577876116313;0.0
979151950;227;ARVA AS;2024;412672.5245873198;4951;407721.5245873198;203014;6047206;6107678.0600000005;137746;171762;75453;271915.6308189687;142057;3934164.12;4943306.63;137746;61901;135805.8937683511;60957;2383836.34;171762;13552;0;0;0;0;0.22609631;296616.20390337077;31143.86231726;534961.3820888943;819217.8536392943;148142.37988433678;38834.75439822;380926.0586739405;0.0
919415096;238;INDRE HORDALAND KRAFTNETT AS;2024;33133.950979623434;0;33133.950979623434;11504;260711;263318.11;12392;1377;1486;32150.78320013345;8885;154927.94;221917.2;12392;1357;983.167779489987;2619;112254.43;1377;129;0;0;0;0;0.5577176;35071.33163555743;6911.2364992;52295.66843415862;63489.72852562529;1072.4778626153281;767.9771352;11663.74719048569;0.0
967670170;242;UVDAL KRAFTFORSYNING SA;2024;12225.3717937238;0;12225.3717937238;1887;43204;43636.04;2229;0;284;12225.3717937238;1887;43636.04;74797.57;2229;284;0.0;0;0.0;0;0;0;0;0;0;0.5577176;13335.913650274537;1243.1525304000002;16764.946420195494;19917.79576366216;0.0;0.0;0.0;0.0
824368082;248;VANG ENERGIVERK AS;2024;12895.33400731677;0;12895.33400731677;4399;103724;104761.24;3402;0;306;12895.33400731677;4399;104761.24;161800.99;3402;306;0.0;0;0.0;0;0;0;0;0;0;0.6243198500000001;14066.734633077645;2123.9361297000005;20911.703696909382;28481.052491042716;0.0;0.0;0.0;0.0
971058854;249;BARENTS NETT AS;2024;81332.73897003528;796;80536.73897003528;45787;1363179;1376810.79;27162;29086;5601;53522.01891290079;25591;651065.1900000001;791913.7300000001;27162;5601;27014.72005713449;20196;778822.11;29086;0;0;0;0;0;0.22609631;58383.91131607422;6141.22797222;96010.6048571565;143052.2350519565;29468.713103125152;6576.23727266;102102.25185512516;0.0
925803375;251;TELEMARK NETT AS;2024;68735.51593411335;0;68735.51593411335;16710;636034;642394.3400000001;18540;10371;6787;62371.90642231637;14314;562168.02;764581.11;18540;4952;6363.609511796989;2396;86202.49;10371;1835;0;0;0;0;0.6706518499999999;68037.71470394326;12433.885299;99997.06108078758;140615.5744191876;6941.674117179625;6955.330336349999;17135.98291960118;0.0
918312730;257;ENIDA AS;2024;49168.87632274426;0;49168.87632274426;15084;462821;467449.20999999996;16299;2876;10265;36860.23145082229;11604;345400.81;437276.47;16299;3787;12308.64487192197;3480;157030.76;2876;6478;0;0;0;0;0.6706518499999999;40208.58195982693;10930.954503149998;66728.95712165957;91685.3169801929;13426.751180533818;1928.7947206;32791.610643714725;0.0
979497482;264;ELVENETT AS;2024;25431.12679925749;0;25431.12679925749;11089;167475;169149.75;17452;0;132;25431.12679925749;11089;169149.75;212132.32;17452;132;0.0;0;0.0;0;0;0;0;0;0;0.6243198500000001;27741.267647842848;10895.630022200003;49864.813837707516;62086.447107707514;0.0;0.0;0.0;0.0
922694435;267;STRAUMNETT AS;2024;16065.052358998262;0;16065.052358998262;5312;90756;91663.56;3582;0;274;15879.22860219553;5185;89145.63;115752.06;3582;274;185.8237568027334;127;2517.93;0;0;0;0;0;0;0.5577176;17321.683548353398;1997.7444432000002;24792.78427897855;31233.853198578552;202.70382093108023;0.0;511.6326565310802;0.0
912631532;269;LINJA AS;2024;396784.39940582536;2159;394625.39940582536;207985;5966460;6026124.6;130390;168119;44979;301691.0026494403;130784;3259344.74;4083538.07;130390;36569;92934.39675638506;77201;2969206.08;168119;8410;0;0;0;0;0.3948023396711657;329096.3439216758;51478.27706972329;549843.6614105608;785342.1833580275;101376.47436781957;66373.7745431767;387660.4987422682;0.0
923819177;274;S-NETT AS;2024;28824.78852121505;0;28824.78852121505;13207;255751;258308.50999999998;11119;1129;3726;26462.07132890875;12594;243307.99;297536.91;11119;3726;2362.7171923063;613;15000.52;1129;0;0;0;0;0;0.38107685;28865.86225793972;4237.193495150001;49618.28030398792;67198.09360812126;2577.344312161684;430.23576365;4274.181883895017;0.0
971589752;275;FØIE AS;2024;195067.84685180098;0;195067.84685180098;53268;1181546;1193361.46;76143;4576;14517;188195.2924663078;48210;1056296.38;1782372.25;76143;13784;6872.5543854932;5058;137537.76;4576;733;0;0;0;0;0.5831920134497456;205290.78477656512;44405.98948010398;312412.9898255314;388733.9242684647;7496.85108871737;2668.686653546036;23257.84506775232;0.0
971040246;287;USTEKVEIKJA KRAFTVERK DA;2024;0.0;0;0.0;0;0;0.0;0;0;0;0.0;0;0.0;0.0;0;0;0.0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
917537534;294;HYDRO ALUMINIUM AS;2024;15890.55078342129;0;15890.55078342129;10077;58021;58601.21;5951;0;576;15890.55078342129;10077;58601.21;58601.21;5951;576;0.0;0;0.0;0;0;0;0;0;0;0.519418861090573;17334.03422641106;3091.06164235;31108.275509479623;35342.40826934629;0.0;0.0;0.0;0.0
916319908;295;VEVIG AS;2024;78236.86550913483;1;78235.86550913483;21335;570142;575843.42;21349;4776;4482;70314.73258045492;17588;466727.06;742307.5800000001;21349;3373;7921.132928679917;3747;109116.36;4776;1109;0;0;0;0;0.6243198500000001;76702.06009738616;13328.604477650002;111168.39361695234;144890.979458819;8640.68157039218;2981.7516036000006;21481.442871261155;0.0
953681781;306;GRIUG AS;2024;46334.46650687801;0;46334.46650687801;11150;299312;302305.12;15487;0;2660;46334.46650687801;11150;302305.12;577326.1;15487;2660;0.0;0;0.0;0;0;0;0;0;0;0.6243198500000001;50543.448067933896;9668.841516950002;74161.66084236893;96004.21344610227;0.0;0.0;0.0;0.0
925668389;311;MELLOM AS;2024;104788.68732181095;0;104788.68732181095;35897;1070221;1080923.21;31381;23307;5924;72891.70748540471;26268;638988.62;846398.1799999999;31381;5827;31896.97983640625;9629;450204.47;23307;97;0;0;0;0;0.38107685;79513.12510147688;11958.572629850001;123872.00461755443;170041.0623746211;34794.47300091428;8881.75814295;76460.53163709381;0.0
966731508;349;EVERKET AS;2024;37602.97962047569;0;37602.97962047569;8376;317707;320884.07;9500;2496;892;35512.52245279541;8234;313424.21;376972.4;9500;892;2090.457167680278;142;7459.86;2496;0;0;0;0;0;0.6706518499999999;38738.44827991616;6371.192574999999;54282.37738186227;76928.32130172894;2280.3524300253684;1673.9470175999998;2961.3521812253684;0.0
986347801;354;ELMEA AS;2024;99378.69248269475;0;99378.69248269475;52688;1958457;1978041.5699999998;21633;8500;35977;59645.77236094442;34148;1135288.48;1266404.66;21633;26813;39732.92012175033;18540;874658.99;8500;9164;0;0;0;0;0.22609631;65063.94105885931;4891.14147423;132320.95528758032;214349.33226251364;43342.223104326564;1921.8186349999999;132770.3926103906;0.0
985411131;433;NORANETT AS;2024;154604.73050847443;3180;151424.73050847443;56062;1274284;1287026.8399999999;52824;18693;33013;133600.4452347157;47003;1002824.96;1291199.15;52824;22530;17824.28527375872;9059;319436.74;18693;10483;0;0;0;0;0.22609631;145736.5903753596;11943.311479439999;228393.36592665588;300850.81203652255;19443.427431036263;4226.41832283;60472.22695937375;0.0
976894677;447;HAFSLUND KRAFT AS;2024;35.76184261574089;0;35.76184261574089;98;1806;1824.06;0;530;4405;0.0;0;0.0;0.0;0;0;35.76184261574089;98;1824.06;530;4405;0;0;0;0;0.5577176;0.0;0.0;0.0;0.0;39.01041646382205;295.590328;5073.95109802256;0.0
968168134;464;VESTALL AS;2024;53878.09372677695;522;53356.09372677695;21994;539706;545103.06;12659;10250;10257;47928.23593836282;16447;457699.68;563945.62;12659;5564;5427.857788414126;5547;88691.13;10250;4693;0;0;0;0;0.22609631;52281.994091347275;2862.15318829;77446.67422574505;110517.00177134505;5920.919542865909;2317.4871775;22902.413021642198;0.0
915635857;503;FAGNE AS;2024;236447.31548888664;4814;231633.31548888664;169654;4366070;4409730.7;53783;99803;16351;163002.170960017;127762;2855562.9;3481834.61;53783;13069;68631.14452886963;41892;1662026.71;99803;3282;0;0;0;0;0.6706518499999999;177809.14260996465;36069.66844854999;355394.5640525266;561718.5021205266;74865.53641062991;66933.06658555;232631.47446915496;0.0
