Org.nr,ID,Selskap,rho,sum ir k per sum akg,sum renter avvik,inntektsramme 2026,D&V-kostnader eks utredningskostnader,Årslønn-justerte D&V-kostnader eks utredningskostnader,AVS,BFV,AKG (inkl 1 % arbeids-kapital),Nettap MWh i LD,Nettap MWh i RD,Nettaps- kostnad i LD,Nettaps- kostnad i RD,KILE,KPI-justert KILE,Årslønn-justerte kostnader knyttet til utred.ansvar og KDS,Sum kostnader,Kostnadsgrunnlag,K* lok distribusjonsnett,K* reg distribusjonsnett,Inntektsramme før kalibrering,Tillegg i kostnadsnorm for kundevekst,K* etter kalibrering,Inntektsramme etter kalibrering
925336637,7,ALUT AS,0.7,-0.00023,-0.00098,,51189.40150886377,55839.401030069246,13924,433942,438281.42000000004,19539,7215,4417.69580109,1631.28487665,4885,5140.950598802396,0,80953.33230661164,116576.39660480652,100981.05348155035,15826.395648211852,115596.23395862049,0,117565.04987004792,117268.4538904755
921680554,9,NORANETT ANDØY AS,0.7,-0.00023,-0.00098,,28855.582766047966,31476.798136635847,5983,175837,177595.37,2432,4936,549.86622592,1116.01138616,17620,18543.203592814374,0,57668.87934153021,72103.64886603277,32763.533023278178,21650.667008036973,58939.82671141844,0,54721.186313743725,59935.92507943044
924004150,16,HAVNETT AS,0.7,-0.00023,-0.00098,,24074.11586015111,26260.9870468315,3688,107426,108500.26,5880,0,3943.4328779999996,0.0,341,358.86676646706593,0,34251.28669129856,43070.07654178061,37839.7992114773,,39408.882410568294,0,38027.34966090587,39540.16772516829
953181606,22,BINDAL KRAFTLAG SA,0.7,-0.00023,-0.00098,,9207.067764966005,10043.429578873616,3173,41776,42193.76,2582,0,583.78067242,0.0,817,859.806886227545,0,14660.017137521161,18089.482674669878,13431.645325548068,,14828.99653028461,0,13504.580253548069,14880.05097988461
980234088,32,NORGESNETT AS,0.7,-0.00023,-0.00098,,168850.78591922697,184189.0405292876,78590,1693305,1710238.0499999998,95677,4508,58709.512757966004,2766.2080072839944,14747,15519.672155688624,0,339774.4334502262,478780.8280639185,457703.613130027,36609.78190124286,487717.2793359657,0,497269.6636605556,491723.01298156445
924862602,35,DE NETT AS,0.7,-0.00023,-0.00098,,19271.63568953657,21022.25386610725,3458,87901,88780.01,3912,0,2623.5900371999996,0.0,679,714.5763473053893,0,27818.42025061264,35034.36840699213,33075.396621054584,,33663.088156835845,955,34183.85920976887,34439.01196893584
923354204,37,FJELLNETT AS,0.7,-0.00023,-0.00098,,62300.88593300469,67960.24277680341,16909,453385,457918.85,21461,27496,8178.29027785,10478.0890676,3717,3911.7529940119766,0,107437.37511626538,144656.54958390642,99788.93965691357,49128.49505028645,140304.50682289194,4944,154652.98014791432,151654.05097871195
914385261,42,STRAM AS,0.7,-0.00023,-0.00098,,24704.78578333361,26948.946462651056,7525,214484,216628.84,9339,0,2111.51343909,0.0,1712,1801.7005988023955,0,38387.160500543454,55994.53043231781,50014.20481074556,,51808.302497217235,0,50388.663234174135,52070.42339361724
923934138,43,BØMLO KRAFTNETT AS,0.7,-0.00023,-0.00098,,24142.406737804387,26335.481406827417,9473,255341,257894.41,6787,0,4551.71410595,0.0,481,506.20209580838326,0,40866.397608585794,61827.79074629862,66272.34323765733,347.8496247823268,65182.47222759735,583,67648.98177115394,65902.62446369734
923833706,55,LYSNA AS,0.7,-0.00023,-0.00098,,22484.16923341404,24526.611088335405,4526,85538,86393.38,6577,0,4410.87721745,0.0,426,448.32035928143716,0,33911.80866506684,40933.77398287197,35317.86665022924,,37002.63885002206,14015,49482.20377851495,46917.67483982206
