Selskap;id;Tillegg i K*;Tillegg i IR
ALUT AS;7; -   ; -   
NORANETT ANDØY AS;9; -   ; -   
HAVNETT AS;16; -   ; -   
BINDAL KRAFTLAG SA;22; -   ; -   
NORGESNETT AS;32; -   ; -   
DE NETT AS;35; 955 ; 669 
FJELLNETT AS;37; 4 944 ; 3 461 
STRAM AS;42; -   ; -   
BØMLO KRAFTNETT AS;43; 583 ; 408 
LYSNA AS;55; 14 015 ; 9 811 
NORANETT HADSEL AS;63; -   ; -   
LUCERNA AS;65; 2 422 ; 1 695 
LINEA AS;71; 587 ; 411 
ASKER NETT AS;82; -   ; -   
HØLAND OG SETSKOG ELVERK AS;84; 32 ; 22 
ELINETT AS;86; 2 188 ; 1 532 
JÆREN EVERK AS;88; 206 ; 144 
KE NETT AS;91; 557 ; 390 
VESTMAR NETT AS;93; -   ; -   
NOREFJELL NETT AS;95; -   ; -   
HARINGNETT AS;96; 2 890 ; 2 023 
YMBER PRODUKSJON AS;98; -   ; -   
BREHEIM NETT AS;104; 1 015 ; 710 
MELØY ENERGI AS;116; 1 014 ; 710 
MOSTRAUM NETT AS;121; 226 ; 158 
KYSTNETT AS;132; -   ; -   
VISSI AS;133; 2 704 ; 1 893 
KLIVE AS;135; -   ; -   
RAKKESTAD ENERGI AS;157; -   ; -   
RK NETT AS;161; -   ; -   
ROMSDALSNETT AS;162; -   ; -   
AREA NETT AS;164; 17 338 ; 12 137 
HYDRO ENERGI AS;167; -   ; -   
R-NETT AS;168; -   ; -   
RØROS E-VERK NETT AS;173; 1 393 ; 975 
Sira Kvina Kraftselskap;187; -   ; -   
SKIAKERNETT AS (Inaktiv i brreg);194; -   ; -   
SYGNIR AS;197; 2 837 ; 1 986 
STRAUMEN NETT AS;213; -   ; -   
SØR AURDAL ENERGI AS;214; 897 ; 628 
TENSIO TS AS;215; -   ; -   
TINFOS AS;222; -   ; -   
STANNUM AS;223; 1 717 ; 1 202 
ARVA AS;227; 5 295 ; 3 707 
INDRE HORDALAND KRAFTNETT AS;238; -   ; -   
UVDAL KRAFTFORSYNING SA;242; 432 ; 302 
VANG ENERGIVERK AS;248; -   ; -   
BARENTS NETT AS;249; 3 034 ; 2 124 
TELEMARK NETT AS;251; -   ; -   
ENIDA AS;257; 880 ; 616 
ELVENETT AS;264; -   ; -   
STRAUMNETT AS;267; -   ; -   
LINJA AS;269; -   ; -   
S-NETT AS;274; 305 ; 214 
FØIE AS;275; 4 089 ; 2 862 
USTEKVEIKJA KRAFTVERK DA;287; -   ; -   
HYDRO ALUMINIUM AS;294; -   ; -   
VEVIG AS;295; -   ; -   
GRIUG AS;306; -   ; -   
MELLOM AS;311; 2 792 ; 1 954 
STATNETT SF;319; -   ; -   
EVERKET AS;349; -   ; -   
ELMEA AS;354; -   ; -   
NORANETT AS;433; 8 900 ; 6 230 
HAFSLUND KRAFT AS;447; -   ; -   
VESTALL AS;464; 2 390 ; 1 673 
FAGNE AS;503; -   ; -   
LNETT AS;511; 1 761 ; 1 233 
ETNA NETT AS;542; -   ; -   
BKK AS;566; 12 696 ; 8 887 
MIDTNETT AS;591; 3 742 ; 2 620 
NETERA AS;599; -   ; -   
LEDE AS;611; 23 988 ; 16 791 
NORDVEST NETT AS;613; 888 ; 621 
GLITRE NETT AS;624; 2 927 ; 2 049 
TENDRANETT AS;625; -   ; -   
FØRE AS;659; 241 ; 169 
ELVIA AS;675; -   ; -   
STATKRAFT ENERGI AS;685; -   ; -   
Yara Norge AS;686; -   ; -   
TENSIO TN AS;699; -   ; -   
SVABO INDUSTRINETT AS;743; -   ; -   
Aktieselskabet Saudefaldene;753; -   ; -   
HERØYA NETT AS;852; -   ; -   
SØR-NORGE ALUMINIUM AS;873; -   ; -   
NORDLINK NORGE AS;901; -   ; -   
NETTSELSKAPET AS;903; 9 976 ; 6 983 
